route_id,agency_id,route_short_name,route_long_name,route_type,route_color,route_text_color
"6-ome-mjp-1","","","Omeo - Bright Via Hotham Heights","3","FF8200","FFFFFF"
"6-ome-A-mjp-1","","","Omeo - Bright Via Hotham Heights","3","FF8200","FFFFFF"
"6-rok-mjp-1","","","Rokewood - Ballarat Via Dereel, Enfield & Napoleons","3","FF8200","FFFFFF"
"6-w13-mjp-1","","","Moe - Albert St","3","FF8200","FFFFFF"
"6-w19-mjp-1","","","Garfield Station","3","FF8200","FFFFFF"
"6-w20-mjp-1","","","Moe Station","3","FF8200","FFFFFF"
"6-w28-mjp-1","","","Nar Nar Goon Station","3","FF8200","FFFFFF"
"6-w30-mjp-1","","","Traralgon Station","3","FF8200","FFFFFF"
"6-w31-mjp-1","","","Warragul Station","3","FF8200","FFFFFF"
"6-w32-mjp-1","","","Newborough TAFE - Yallourn","3","FF8200","FFFFFF"
"6-w33-mjp-1","","","Traralgon Plaza","3","FF8200","FFFFFF"
"6-w34-mjp-1","","","Moe Bus Interchange","3","FF8200","FFFFFF"
"6-w35-mjp-1","","","Drouin North","3","FF8200","FFFFFF"
"6-w36-mjp-1","","","Drouin North","3","FF8200","FFFFFF"
"6-w37-mjp-1","","","Drouin North","3","FF8200","FFFFFF"
"6-w38-mjp-1","","","Drouin North","3","FF8200","FFFFFF"
"6-w39-mjp-1","","","Drouin North","3","FF8200","FFFFFF"
"6-w40-mjp-1","","","Garfield Station","3","FF8200","FFFFFF"
"6-w41-mjp-1","","","Pakenham Station","3","FF8200","FFFFFF"
"6-w76-mjp-1","","","Warragul Station","3","FF8200","FFFFFF"
"6-w77-mjp-1","","","Drouin Station","3","FF8200","FFFFFF"
"6-Hpt-mjp-1","","","Penshurst - Hamilton Via Tarrington","3","FF8200","FFFFFF"
"6-KM1-mjp-1","","","Kilmore - Kilmore East Railway Station","3","FF8200","FFFFFF"
"6-KWR-mjp-1","","","Koo-Wee-Rup - Pakenham","3","FF8200","FFFFFF"
"6-KeE-mjp-1","","","Echuca - Kerang","3","FF8200","FFFFFF"
"6-Ker-mjp-1","","","Kerang","3","FF8200","FFFFFF"
"6-Kym-mjp-1","","","Kyneton Town Centre - Malmsbury","3","FF8200","FFFFFF"
"6-MLH-mjp-1","","","Horsham - Mildura Via Warracknabeal & Ouyen","3","FF8200","FFFFFF"
"6-Ma1-mjp-1","","","Maffra Post Office - Glassford Street Via Maffra Hospital","3","FF8200","FFFFFF"
"6-Mab-mjp-1","","","Maryborough - Maryborough Station","3","FF8200","FFFFFF"
"6-Mbe-mjp-1","","","Maryborough - Maryborough Via Bowenvale, Dunolly & Bealiba","3","FF8200","FFFFFF"
"6-MiS-mjp-1","","","Mildura - Sea Lake Via Ouyen","3","FF8200","FFFFFF"
"6-MtB-mjp-1","","","Albury - Mt Beauty Via Baranduda, Kergunya & Tawonga South","3","FF8200","FFFFFF"
"6-MtE-mjp-1","","","Ballarat - Mt Egerton Via Gordon","3","FF8200","FFFFFF"
