trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
"5549.T0.7-TB1-mjp-1.1.H","05:50:00","05:50:00","21296","1","","0","0","0"
"5549.T0.7-TB1-mjp-1.1.H","05:55:00","05:55:00","15701","2","","0","0","1546.53067357264"
"5549.T0.7-TB1-mjp-1.1.H","05:58:00","05:58:00","15702","3","","0","0","2352.52520359378"
"5549.T0.7-TB1-mjp-1.1.H","06:00:00","06:00:00","16669","4","","0","0","4324.21247140208"
"5549.T0.7-TB1-mjp-1.1.H","06:05:00","06:05:00","16670","5","","0","0","6049.29879072457"
"5549.T0.7-TB1-mjp-1.1.H","06:10:00","06:10:00","40196","6","","0","0","8514.06195062564"
"5551.T0.7-TB1-mjp-1.1.H","06:50:00","06:50:00","21296","1","","0","0","0"
"5551.T0.7-TB1-mjp-1.1.H","06:55:00","06:55:00","15701","2","","0","0","1546.53067357264"
"5551.T0.7-TB1-mjp-1.1.H","06:58:00","06:58:00","15702","3","","0","0","2352.52520359378"
"5551.T0.7-TB1-mjp-1.1.H","07:00:00","07:00:00","16669","4","","0","0","4324.21247140208"
"5551.T0.7-TB1-mjp-1.1.H","07:05:00","07:05:00","16670","5","","0","0","6049.29879072457"
"5551.T0.7-TB1-mjp-1.1.H","07:10:00","07:10:00","40196","6","","0","0","8514.06195062564"
"5552.T0.7-TB1-mjp-1.1.H","07:20:00","07:20:00","21296","1","","0","0","0"
"5552.T0.7-TB1-mjp-1.1.H","07:25:00","07:25:00","15701","2","","0","0","1546.53067357264"
"5552.T0.7-TB1-mjp-1.1.H","07:28:00","07:28:00","15702","3","","0","0","2352.52520359378"
"5552.T0.7-TB1-mjp-1.1.H","07:30:00","07:30:00","16669","4","","0","0","4324.21247140208"
"5552.T0.7-TB1-mjp-1.1.H","07:35:00","07:35:00","16670","5","","0","0","6049.29879072457"
"5552.T0.7-TB1-mjp-1.1.H","07:40:00","07:40:00","40196","6","","0","0","8514.06195062564"
"5554.T0.7-TB1-mjp-1.1.H","08:45:00","08:45:00","21296","1","","0","0","0"
